type,N,run,suffix
rs,5,12,[68990| 63291| 22246| 47469| 23311| 84181| 81022| 63334| 31501| 78161| 98636| 99478| 8635| 9670| 85229| 14839| 36386| 22075| 80906| 56024| 64225| 66295| 19093| 81784| 17149]
rs,5,13,[9679| 125911| 40497| 75541| 101164| 83667| 62460| 55068| 98887| 81694| 78977| 6952| 62150| 80982| 48825| 46060| 102262| 91199| 58149| 49112| 54944| 68163| 15928| 10709| 50798]
rs,5,14,[54474| 9394| 41008| 5462| 7868| 79821| 20726| 33615| 577| 80600| 13469| 88716| 81010| 57362| 9496| 60830| 24748| 82625| 50017| 122493| 66928| 69270| 99755| 77273| 82323]
rs,5,15,[9196| 125244| 61311| 42817| 91054| 81884| 47980| 45427| 89490| 51767| 33062| 60308| 27335| 15516| 4329| 104690| 37850| 107848| 3833| 34244| 21052| 9537| 22482| 100986| 75817]
rs,5,16,[10344| 18024| 70804| 34794| 126663| 72740| 57361| 83043| 118488| 65979| 19808| 81794| 31842| 117098| 97190| 64170| 120848| 57961| 95219| 98703| 84248| 36184| 2152| 10307| 50224]
rs,5,17,[88496| 12285| 5511| 62460| 49456| 67540| 87476| 40809| 11379| 17442| 24487| 54923| 74309| 93625| 1085| 14931| 45897| 99114| 24179| 63132| 6220| 76450| 3514| 36427| 54624]
rs,5,18,[119224| 108135| 74233| 105094| 15931| 79389| 29783| 19475| 73973| 10490| 47665| 51600| 68984| 99712| 5202| 77720| 53886| 123541| 127056| 62346| 68574| 101659| 68278| 34489| 92572]
rs,5,19,[1408| 15001| 33905| 118678| 65255| 18465| 78688| 74784| 45236| 70161| 98285| 20840| 27368| 27277| 55971| 30315| 5897| 61024| 100569| 67196| 770| 24873| 946| 36094| 92979]
rs,5,20,[34262| 107786| 23293| 60836| 22307| 35338| 3961| 78753| 104921| 7653| 41117| 38835| 37945| 86964| 742| 106892| 65306| 13748| 90195| 92664| 46416| 94719| 11743| 31754| 71276]
rs,5,21,[30648| 46920| 78077| 45974| 99228| 28666| 14038| 53886| 78374| 38505| 72438| 69636| 121990| 108201| 25466| 33619| 70180| 70001| 32527| 30403| 16706| 116021| 60447| 74787| 88192]
rs,5,22,[30355| 27551| 104731| 117518| 113023| 93966| 113688| 44599| 92793| 30329| 1328| 79169| 65909| 26966| 95864| 32081| 16755| 122095| 66210| 68867| 45656| 34286| 34968| 31926| 126985]
rs,5,23,[14954| 76334| 5885| 63291| 98197| 94708| 78830| 126277| 447| 115145| 75424| 66799| 64908| 32808| 14648| 45172| 44980| 17370| 29118| 10296| 54564| 33860| 73531| 71631| 23459]
rs,5,24,[36866| 44043| 72214| 30252| 11958| 76652| 89362| 95795| 1230| 360| 27970| 36918| 1692| 17109| 61805| 90364| 77201| 100088| 93342| 11288| 19419| 36874| 90097| 30502| 45370]
rs,5,25,[66157| 95772| 92376| 12698| 82268| 52269| 80929| 73018| 26331| 49130| 29593| 85069| 84150| 10438| 95772| 116649| 32901| 87300| 126110| 61315| 50854| 107645| 4179| 57910| 87644]
rs,5,26,[578| 1975| 50917| 113184| 103336| 44101| 34846| 87740| 52523| 69810| 18163| 44653| 37605| 20432| 32479| 16410| 101861| 85372| 91308| 49862| 79446| 79359| 44822| 81970| 19787]
rs,5,27,[85373| 5184| 65776| 28146| 69801| 3001| 43640| 72135| 3366| 6482| 64735| 38658| 66772| 77114| 38869| 55596| 89509| 57589| 118568| 14038| 46235| 62438| 82519| 4169| 74982]
rs,5,28,[86597| 9493| 63287| 4145| 99036| 65900| 50216| 45109| 56893| 4660| 44716| 103476| 8325| 78267| 44477| 72720| 59093| 68899| 3706| 92352| 82111| 70516| 18988| 65997| 25086]
rs,5,29,[14085| 97903| 69614| 16252| 71292| 93007| 77846| 5970| 77685| 97702| 114290| 87232| 36543| 1805| 30508| 108885| 65160| 43076| 33484| 85761| 78924| 100388| 2670| 77924| 38842]
rs,5,30,[77627| 84691| 78269| 33168| 52054| 27116| 4035| 73136| 23336| 39057| 89201| 53690| 685| 34021| 46595| 55178| 78595| 3105| 33675| 36205| 78270| 59312| 43041| 22913| 69715]
