run,iteration,fitness,sure_generated
4,60,3.069390785981341e-08,0
5,60,1.220564627146814e-07,0
6,60,3.6284781401718647e-08,0
7,60,1.1867432903045483e-07,0
8,60,2.3964627615669087e-08,0
9,60,2.9619954489135125e-08,0
10,60,1.5308235390421032e-07,0
1,61,2.0203549411235144e-07,0
2,61,1.1073530004068743e-06,0
3,61,1.0949158735229503e-07,0
4,61,9.183356297626233e-08,0
5,61,4.387893781654384e-08,0
6,61,5.451997253658192e-08,0
7,61,1.70184065950707e-07,0
8,61,7.806396951082206e-08,0
9,61,5.263579438974375e-08,0
10,61,1.0403358174926325e-07,0
1,62,3.9745825120007794e-07,0
2,62,6.035168667040125e-07,0
3,62,1.5614142512276885e-07,0
4,62,1.3548428512422106e-07,0
5,62,8.969857390184188e-08,0
6,62,3.3716045066967126e-08,0
7,62,1.2233088853008667e-07,0
8,62,1.5665732178149483e-07,0
9,62,6.019710241389475e-08,0
10,62,3.6125797464592324e-07,0
1,63,8.175104539986933e-07,0
2,63,1.2068203432136215e-06,0
3,63,1.850068258590909e-07,0
4,63,6.309068822929476e-08,0
5,63,1.6686965409462573e-07,0
6,63,8.328147060865376e-08,0
7,63,1.192350538303799e-07,0
8,63,9.110578957916005e-08,0
9,63,3.5229785311230444e-08,0
10,63,2.0588765892171068e-07,0
1,64,3.2310620667885814e-07,0
2,64,5.74675539155578e-07,0
3,64,1.3000810383800854e-07,0
4,64,5.8417569448465656e-08,0
5,64,5.226338117836349e-08,0
6,64,6.702957477955351e-08,0
7,64,1.2476910171699274e-07,0
8,64,1.6072468156380637e-07,0
9,64,3.422477945491664e-08,0
10,64,1.582860988946777e-07,0
1,65,3.4743030141726194e-07,0
2,65,2.1852247300557792e-06,0
3,65,8.369503490257557e-08,0
4,65,1.0287498497518754e-07,0
5,65,1.0685089790740676e-07,0
6,65,1.1521509435397093e-07,0
7,65,1.208412214737109e-07,0
8,65,1.0526392202336865e-07,0
9,65,1.2582428610130592e-07,0
10,65,2.817830875301297e-07,0
1,66,1.2470434285205556e-06,0
2,66,2.0597155980794923e-07,0
3,66,5.630732147210438e-08,0
4,66,8.83087736269772e-08,0
5,66,6.025686616339954e-08,0
6,66,6.029730315049164e-08,0
7,66,2.1346868095406535e-07,0
8,66,1.4436700723763352e-07,0
9,66,9.620404028964913e-08,0
10,66,7.830911386008665e-07,0
1,67,3.80070986238934e-07,0
2,67,3.736519715857867e-08,0
3,67,3.786590951904145e-08,0
4,67,1.574438357465624e-07,0
5,67,3.102944035049404e-08,0
6,67,4.720495994092744e-08,0
7,67,1.2886631850506092e-07,0
8,67,8.727410261144541e-08,0
9,67,5.285790649622868e-08,0
10,67,2.0703301117919182e-07,0
1,68,5.558042062148161e-07,0
2,68,1.0831813312961458e-07,0
3,68,2.759743154001626e-07,0
4,68,5.4913339653239746e-08,0
5,68,1.4705433670769708e-07,0
6,68,6.407631047977702e-08,0
7,68,8.285352492976017e-08,0
8,68,6.202814972766646e-08,0
9,68,2.2721858172758402e-08,0
10,68,3.071541527788213e-07,0
1,69,8.895426617527846e-07,0
2,69,1.1842922731375438e-07,0
3,69,2.0299262359912973e-07,0
4,69,5.237280333858507e-07,0
5,69,1.484391702888388e-07,0
6,69,7.614222852225794e-08,0
7,69,2.0742646711369161e-07,0
8,69,1.1478261541242318e-07,0
9,69,1.4566469985766162e-07,0
10,69,1.4961690908421588e-07,0
1,70,8.173881269613048e-07,0
2,70,5.686354143108474e-07,0
3,70,1.778461609092119e-07,0
4,70,7.439138727249883e-08,0
5,70,2.8919727057541422e-08,0
6,70,1.0534490257896323e-07,0
7,70,2.4660496933393006e-07,0
8,70,1.0574053277423445e-07,0
9,70,9.974192494155432e-08,0
10,70,1.1918005071720472e-07,0
1,71,7.105194868017861e-07,0
2,71,1.2770667581207817e-06,0
3,71,2.515668597879994e-07,0
4,71,7.655187772570571e-08,0
5,71,8.859723976684108e-08,0
6,71,9.662559818934824e-08,0
7,71,1.5432209465870983e-07,0
8,71,1.3118066988226929e-07,0
9,71,7.085284892127675e-08,0
10,71,1.7454392775562155e-07,0
1,72,5.783476240139862e-07,0
2,72,1.9680740024341503e-06,0
3,72,5.800858104976214e-08,0
4,72,3.097149487985007e-07,0
5,72,5.707963524059778e-08,0
