run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,90,0.0005016563809476793,3.735378584224236e-07,7.056895992718637e-05,0.00016767445777077228,0.00017079495592042804,0
1,91,0.0005387625424191356,3.689890490932157e-07,0.00010399627353763208,0.00017952141934074461,0.00017839620704762638,0
1,92,0.0005388043355196714,4.502304591369466e-07,4.6852324885549024e-05,0.00013113893510308117,0.00017354845476802438,0
1,93,0.0005387879209592938,1.1199331311217975e-06,7.550770533271134e-05,0.00014623616880271584,0.00015451907529495656,0
1,94,0.0005387625424191356,2.8354013466014294e-06,8.065556176006794e-05,0.000144953781273216,0.00016235787188634276,0
1,95,0.0005388043355196714,1.0223092203887063e-06,8.495217480231076e-05,0.00017394400492776185,0.0001782758190529421,0
1,96,0.0005387625424191356,1.1195111255801748e-06,8.571132639190182e-05,0.00015104730846360326,0.0001513970928499475,0
1,97,0.0005705319344997406,5.089854084872059e-07,5.0886927056126297e-05,0.0001557595533085987,0.00019456029986031353,0
1,98,0.0005705319344997406,1.8400719454803038e-06,8.437960786977783e-05,0.00018571112013887614,0.00021058524725958705,0
1,99,0.0005705319344997406,1.1276604254817357e-06,0.0001292040542466566,0.00019676070951391011,0.0001893714943435043,0
1,100,0.0006280295201577246,3.094703743045102e-06,0.00014182044833432883,0.00022608405561186373,0.0002141275763278827,0
1,101,0.0006280295201577246,3.1950273751135683e-06,5.651241372106597e-05,0.00015153201820794493,0.0001790826063370332,0
1,102,0.0006280000088736415,1.8871023712563328e-06,5.016139766667038e-05,0.0001586983271408826,0.0002031327021541074,0
1,103,0.0006280000088736415,2.1070641196274664e-06,4.882001303485595e-05,0.00011126844765385613,0.0001593161723576486,0
1,104,0.0006482856115326285,9.483055123382655e-07,0.0001187648595077917,0.0001991079334402457,0.00020585893071256578,0
1,105,0.0008159950375556946,1.3120104540575994e-06,0.00010225911682937294,0.00018371976329945028,0.00022356328554451466,0
1,106,0.0008160340948961675,5.437099162008963e-07,0.00015009667549747974,0.00021997388103045523,0.00022691448975820094,0
1,107,0.0008159950375556946,1.5413778555739555e-06,6.913473771419376e-05,0.00023979962861631066,0.00029118655947968364,0
1,108,0.0008160389261320233,1.1909866088899435e-06,0.00015530215750914067,0.00024084154574666172,0.00023409056302625686,0
1,109,0.0010256310924887657,1.109061031456804e-06,0.00012968320515938103,0.00029972061747685075,0.00031287880847230554,0
1,110,0.0010255929082632065,1.7232636082553654e-06,0.00011840365186799318,0.0002436878130538389,0.00029937102226540446,0
1,111,0.0010255929082632065,1.081811319636472e-06,0.0001453028671676293,0.0003240566875319928,0.00036896520759910345,0
1,112,0.0010255929082632065,1.1536320698724012e-06,0.00014387151168193668,0.0003738914674613625,0.0003882161108776927,0
1,113,0.0010260151466354728,1.5099276424734853e-06,0.00014250431559048593,0.0003515436837915331,0.00040872336830943823,0
1,114,0.0014595421962440014,2.464045110173174e-06,0.00019752905063796788,0.0003809407353401184,0.00043979939073324203,0
1,115,0.0014593807281926274,3.2380441439272545e-07,8.390860602958128e-05,0.00026793256984092295,0.0004075408505741507,0
1,116,0.0014595421962440014,1.1374362429705798e-06,0.00010609498713165522,0.0002979186538141221,0.000378648896003142,0
1,117,0.0014595421962440014,1.2820224810639047e-06,0.00015969935338944197,0.0003452737582847476,0.000422384066041559,0
1,118,0.0014594338135793805,1.3363666084842407e-06,6.755793583579361e-05,0.00035058255889452994,0.0005312859429977834,0
1,119,0.0014595421962440014,3.878966765569203e-07,0.0001492200535722077,0.00047188031021505594,0.0005416798521764576,0
1,120,0.0014594338135793805,1.288942826249695e-06,9.941222378984094e-05,0.0003307744627818465,0.00048106341273523867,0
